Frequency (Hz)	Level (dB)				
2157.357788	-44.368912				
2158.703613	-42.268871				
2160.049438	-43.637711				
2161.395264	-45.056065				
2162.741089	-44.55899				
2164.086914	-43.886372				
2165.432739	-44.059502				
2166.778564	-43.024952				
2168.12439	-43.918255				
2169.470215	-42.938183				
2170.81604	-44.589008				
2172.161865	-42.730656				
2173.50769	-42.461777				
2174.853516	-42.697163				
2176.199341	-42.737938				
2177.545166	-43.109825				
2178.890991	-42.066425				
2180.236816	-42.485638				
2181.582642	-43.786896				
2182.928467	-43.688339				
2184.274292	-44.090424				
2185.620117	-42.904663				
2186.965942	-42.40955				
2188.311768	-42.074776				
2189.657593	-43.059177				
2191.003418	-44.117073				
2192.349243	-43.557625				
2193.695068	-44.437065				
2195.040894	-43.882599				
2196.386719	-43.642426				
2197.732544	-44.572956				
2199.078369	-43.72961				
2200.424194	-45.493591				
2201.77002	-44.168762				
2203.115845	-44.837017				
2204.46167	-44.921036				
2205.807495	-45.98629				
2207.15332	-45.566166				
2208.499146	-45.066799				
2209.844971	-46.308689				
2211.190796	-45.016201				
2212.536621	-45.304432				
2213.882446	-46.00864				
2215.228271	-46.728848				
2216.574097	-47.187698				
2217.919922	-46.697609				
2219.265747	-47.163849				
2220.611572	-47.151585				
2221.957397	-47.481293				
2223.303223	-47.914307				
2224.649048	-47.485691				
2225.994873	-47.298553				
2227.340698	-47.8382				
2228.686523	-47.904705				
2230.032349	-47.531361				
2231.378174	-47.06171				
2232.723999	-47.831345				
2234.069824	-48.546219				
2235.415649	-49.000957				
2236.761475	-48.941982				
2238.1073	-48.747574				
2239.453125	-49.797348				
2240.79895	-48.472244				
2242.144775	-49.424259				
2243.490601	-49.861187				
2244.836426	-49.78125				
2246.182251	-49.20763				
2247.528076	-50.59901				
2248.873901	-49.876865				
2250.219727	-50.10437				
2251.565552	-51.039597				
2252.911377	-50.793575				
2254.257202	-51.481815				
2255.603027	-50.444859				
2256.948853	-51.015694				
2258.294678	-50.768917				
2259.640503	-50.136372				
2260.986328	-50.556828				
2262.332153	-51.678097				
2263.677979	-51.033775				
2265.023804	-50.426178				
2266.369629	-50.098274				
2267.715454	-51.608006				
2269.061279	-52.483952				
2270.407104	-52.284527				
2271.75293	-51.806332				
2273.098755	-51.891304				
2274.44458	-52.08754				
2275.790405	-52.166908				
2277.13623	-52.164463				
2278.482056	-51.723629				
2279.827881	-51.826973				
2281.173706	-52.203991				
2282.519531	-52.125076				
2283.865356	-52.159222				
2285.211182	-52.849918				
2286.557007	-52.889099				
2287.902832	-52.498905				
2289.248657	-53.161247				
2290.594482	-52.464794				
2291.940308	-53.25983				
2293.286133	-53.312675				
2294.631958	-53.172081				
2295.977783	-53.339699				
2297.323608	-53.814022				
2298.669434	-53.796734				
2300.015259	-53.345257				
2301.361084	-53.232441				
2302.706909	-54.078457				
2304.052734	-53.994118				
2305.39856	-54.424393				
2306.744385	-54.998524				
2308.09021	-53.898907				
2309.436035	-55.361622				
2310.78186	-53.895615				
2312.127686	-53.938313				
2313.473511	-53.84441				
2314.819336	-54.674458				
2316.165161	-54.017097				
2317.510986	-55.070885				
2318.856812	-55.09618				
2320.202637	-54.356457				
2321.548462	-54.456177				
2322.894287	-55.107685				
2324.240112	-56.16312				
2325.585938	-55.639984				
2326.931763	-55.901718				
2328.277588	-55.168396				
2329.623413	-55.540779				
2330.969238	-54.738266				
2332.315063	-55.251797				
2333.660889	-56.056103				
2335.006714	-55.336319				
2336.352539	-55.031532				
2337.698364	-56.42588				
2339.044189	-55.394688				
2340.390015	-55.201904				
2341.73584	-54.0611				
2343.081665	-56.130726				
2344.42749	-56.17931				
2345.773315	-56.823818				
2347.119141	-56.502964				
2348.464966	-56.233692				
2349.810791	-55.479126				
2351.156616	-55.313797				
2352.502441	-55.524025				
2353.848267	-54.633167				
2355.194092	-55.637848				
2356.539917	-56.598537				
2357.885742	-56.1651				
2359.231567	-56.192307				
2360.577393	-56.885906				
2361.923218	-56.556183				
2363.269043	-56.784882				
2364.614868	-55.713242				
2365.960693	-57.184586				
2367.306519	-56.452763				
2368.652344	-57.050194				
2369.998169	-56.710178				
2371.343994	-56.429115				
2372.689819	-57.211739				
2374.035645	-57.613487				
2375.38147	-56.525608				
2376.727295	-57.379868				
2378.07312	-55.928963				
2379.418945	-57.010654				
2380.764771	-56.568974				
2382.110596	-58.155876				
2383.456421	-57.494755				
2384.802246	-57.249603				
2386.148071	-57.072914				
2387.493896	-56.201992				
2388.839722	-57.862099				
2390.185547	-57.496536				
2391.531372	-56.834114				
2392.877197	-56.320183				
2394.223022	-56.217487				
2395.568848	-57.306923				
2396.914673	-57.745262				
2398.260498	-56.754467				
2399.606323	-57.488445				
2400.952148	-57.323555				
2402.297974	-56.807743				
2403.643799	-57.213696				
2404.989624	-57.115135				
2406.335449	-57.73037				
2407.681274	-58.082874				
2409.0271	-57.260742				
2410.372925	-57.231628				
2411.71875	-56.838779				
2413.064575	-57.299385				
2414.4104	-56.437996				
2415.756226	-56.209743				
2417.102051	-57.139328				
2418.447876	-56.47274				
2419.793701	-56.961918				
2421.139526	-57.436817				
2422.485352	-57.213615				
2423.831177	-57.35495				
2425.177002	-56.975727				
2426.522827	-57.854557				
2427.868652	-57.598465				
2429.214478	-57.248077				
2430.560303	-58.347969				
2431.906128	-56.962818				
2433.251953	-57.50494				
2434.597778	-57.155815				
2435.943604	-56.893791				
2437.289429	-57.736416				
2438.635254	-57.000885				
2439.981079	-57.044117				
2441.326904	-58.192429				
2442.672729	-58.425751				
2444.018555	-56.516357				
2445.36438	-57.522671				
2446.710205	-58.003971				
2448.05603	-58.403141				
2449.401855	-58.798767				
2450.747681	-57.695038				
2452.093506	-56.98106				
2453.439331	-57.993458				
2454.785156	-57.807125				
2456.130981	-57.393837				
2457.476807	-56.6548				
2458.822632	-56.928352				
2460.168457	-56.742237				
2461.514282	-58.223331				
2462.860107	-57.374168				
2464.205933	-57.249641				
2465.551758	-56.880943				
2466.897583	-57.565044				
2468.243408	-56.518009				
2469.589233	-58.109436				
2470.935059	-56.858639				
2472.280884	-57.113361				
2473.626709	-57.286423				
2474.972534	-56.480148				
2476.318359	-56.938633				
2477.664185	-57.620026				
2479.01001	-56.389713				
2480.355835	-57.099308				
2481.70166	-55.865257				
2483.047485	-57.808296				
2484.393311	-57.641651				
2485.739136	-56.9734				
2487.084961	-56.681423				
2488.430786	-57.357937				
2489.776611	-56.968624				
2491.122437	-56.673073				
2492.468262	-56.69355				
2493.814087	-57.282784				
2495.159912	-57.537064				
2496.505737	-57.695068				
2497.851562	-57.113567				
2499.197388	-56.260418				
2500.543213	-56.23003				
2501.889038	-56.433468				
2503.234863	-56.635979				
2504.580688	-56.818993				
2505.926514	-56.981384				
2507.272339	-56.904305				
2508.618164	-57.08065				
2509.963989	-57.137135				
2511.309814	-55.923992				
2512.65564	-58.005718				
2514.001465	-56.100151				
2515.34729	-56.184334				
2516.693115	-55.746529				
2518.03894	-56.42123				
2519.384766	-55.653568				
2520.730591	-56.189903				
2522.076416	-56.715008				
2523.422241	-56.564426				
2524.768066	-55.549721				
2526.113892	-55.879803				
2527.459717	-56.254265				
2528.805542	-55.351196				
2530.151367	-55.992981				
2531.497192	-56.592648				
2532.843018	-56.28101				
2534.188843	-55.884842				
2535.534668	-56.506428				
2536.880493	-56.739925				
2538.226318	-55.2868				
2539.572144	-55.684486				
2540.917969	-55.530037				
