Frequency (Hz)	Level (dB)
320.312500	-78.943520
320.800781	-76.857964
321.289062	-78.606117
321.777344	-78.514732
322.265625	-78.676247
322.753906	-76.826912
323.242188	-78.079376
323.730469	-77.914452
324.218750	-77.571434
324.707031	-77.087128
325.195312	-77.834747
325.683594	-78.190216
326.171875	-77.445137
326.660156	-76.849663
327.148438	-77.458572
327.636719	-79.061981
328.125000	-79.170624
328.613281	-75.793839
329.101562	-77.836945
329.589844	-76.295280
330.078125	-77.299820
330.566406	-77.748024
331.054688	-76.281044
331.542969	-77.394699
332.031250	-78.702026
332.519531	-79.981720
333.007812	-79.104225
333.496094	-78.022003
333.984375	-76.839882
334.472656	-76.583412
334.960938	-77.585533
335.449219	-77.469719
335.937500	-78.803940
336.425781	-77.271126
336.914062	-78.084831
337.402344	-77.077751
337.890625	-78.350014
338.378906	-78.018661
338.867188	-78.999008
339.355469	-79.056877
339.843750	-79.121437
340.332031	-77.489334
340.820312	-76.048080
341.308594	-77.583435
341.796875	-78.527817
342.285156	-77.811546
342.773438	-77.164093
343.261719	-78.724403
343.750000	-74.930603
344.238281	-76.352867
344.726562	-77.095535
345.214844	-75.458908
345.703125	-79.271172
346.191406	-77.278885
346.679688	-76.796204
347.167969	-74.967751
347.656250	-78.478065
348.144531	-77.476074
348.632812	-77.437920
349.121094	-78.684631
349.609375	-79.242027
350.097656	-78.184639
350.585938	-78.008926
351.074219	-77.148079
351.562500	-75.749664
352.050781	-77.606522
352.539062	-76.690010
353.027344	-79.281609
353.515625	-76.665176
354.003906	-76.003334
354.492188	-74.992950
354.980469	-78.393845
355.468750	-75.607414
355.957031	-76.451469
356.445312	-76.357788
356.933594	-76.209702
357.421875	-76.648926
357.910156	-76.907524
358.398438	-80.396309
358.886719	-78.291794
359.375000	-75.894798
359.863281	-78.423355
360.351562	-75.545677
360.839844	-75.804611
361.328125	-78.830864
361.816406	-77.902153
362.304688	-77.428169
362.792969	-75.989723
363.281250	-75.849648
363.769531	-76.088341
364.257812	-76.878700
364.746094	-77.378357
365.234375	-76.519806
365.722656	-77.329781
366.210938	-78.598312
366.699219	-77.553871
367.187500	-76.539833
367.675781	-75.963165
368.164062	-76.894592
368.652344	-74.944672
369.140625	-77.436531
369.628906	-76.260437
370.117188	-77.494492
370.605469	-75.517105
371.093750	-77.062263
371.582031	-77.209831
372.070312	-76.843666
372.558594	-75.993690
373.046875	-75.649246
373.535156	-78.505707
374.023438	-76.743637
374.511719	-76.708359
375.000000	-76.396523
375.488281	-74.924194
375.976562	-75.988258
376.464844	-79.158600
376.953125	-76.914886
377.441406	-77.153320
377.929688	-77.031982
378.417969	-76.860329
378.906250	-77.032021
379.394531	-75.465462
379.882812	-77.954590
380.371094	-76.017273
380.859375	-76.283920
381.347656	-75.582840
381.835938	-74.491043
382.324219	-73.843575
382.812500	-76.525291
383.300781	-76.140396
383.789062	-76.194046
384.277344	-76.122169
384.765625	-76.305870
385.253906	-74.535446
385.742188	-77.457176
386.230469	-75.365753
386.718750	-76.915527
387.207031	-77.436111
387.695312	-75.458778
388.183594	-76.896538
388.671875	-76.235489
389.160156	-77.386009
389.648438	-75.178864
390.136719	-76.488457
390.625000	-76.366226
391.113281	-75.999565
391.601562	-77.181595
392.089844	-78.660011
392.578125	-77.135765
393.066406	-78.200974
393.554688	-75.676224
394.042969	-75.829330
394.531250	-78.307655
395.019531	-76.022675
395.507812	-75.595566
395.996094	-76.154022
396.484375	-76.281525
396.972656	-73.407120
397.460938	-76.920776
397.949219	-76.185966
398.437500	-75.830734
398.925781	-77.002090
399.414062	-75.259109
399.902344	-75.649216
400.390625	-77.545502
400.878906	-75.744553
401.367188	-77.758987
401.855469	-75.918953
402.343750	-75.742661
402.832031	-73.807213
403.320312	-72.869652
403.808594	-75.503891
404.296875	-76.250404
404.785156	-74.431854
405.273438	-78.373207
405.761719	-78.634941
406.250000	-74.945732
406.738281	-76.630554
407.226562	-76.062691
407.714844	-74.373512
408.203125	-76.690399
408.691406	-76.273285
409.179688	-73.954483
409.667969	-74.579552
410.156250	-76.556633
410.644531	-76.005043
411.132812	-75.903275
411.621094	-74.557144
412.109375	-76.687958
412.597656	-76.963135
413.085938	-77.862274
413.574219	-76.425644
414.062500	-76.759300
414.550781	-74.660912
415.039062	-75.641228
415.527344	-74.767998
416.015625	-74.139587
416.503906	-74.408890
416.992188	-76.566109
417.480469	-74.563148
417.968750	-76.180580
418.457031	-74.462929
418.945312	-75.607796
419.433594	-73.630997
419.921875	-76.491501
420.410156	-74.551865
420.898438	-73.350075
421.386719	-75.984009
421.875000	-74.028236
422.363281	-74.520302
422.851562	-74.029678
423.339844	-75.561073
423.828125	-76.500298
424.316406	-76.180305
424.804688	-74.905304
425.292969	-75.293343
425.781250	-73.891418
426.269531	-75.808533
426.757812	-75.655838
427.246094	-74.870262
427.734375	-74.894020
428.222656	-77.449806
428.710938	-76.920303
429.199219	-76.553276
429.687500	-73.873199
430.175781	-73.350601
430.664062	-75.719666
431.152344	-73.957741
431.640625	-74.225067
432.128906	-73.835709
432.617188	-73.180969
433.105469	-75.884285
433.593750	-74.928741
434.082031	-74.264702
434.570312	-77.168724
435.058594	-74.061150
435.546875	-74.862892
436.035156	-75.734413
436.523438	-76.036125
437.011719	-76.045746
437.500000	-72.458496
437.988281	-71.831291
438.476562	-73.033257
438.964844	-73.447746
439.453125	-75.656982
439.941406	-76.336365
440.429688	-75.473900
440.917969	-74.524399
441.406250	-73.588760
441.894531	-75.243736
442.382812	-72.333694
442.871094	-73.181770
443.359375	-72.680229
443.847656	-74.215973
444.335938	-75.011215
444.824219	-73.502884
445.312500	-76.980507
445.800781	-76.210999
446.289062	-73.523079
446.777344	-72.541504
447.265625	-74.519569
447.753906	-76.239044
448.242188	-72.553001
448.730469	-70.518021
449.218750	-73.883255
449.707031	-74.254700
450.195312	-76.438499
450.683594	-73.869774
451.171875	-72.033188
451.660156	-75.476082
452.148438	-73.247284
452.636719	-72.667839
453.125000	-73.821541
453.613281	-74.886215
454.101562	-73.589851
454.589844	-72.614876
455.078125	-73.160599
455.566406	-71.504944
456.054688	-73.714958
456.542969	-74.020691
457.031250	-73.940750
457.519531	-71.514442
458.007812	-70.417999
458.496094	-73.930923
458.984375	-71.068474
459.472656	-73.491455
459.960938	-73.979919
460.449219	-73.054451
460.937500	-71.963127
461.425781	-73.453674
